PSTAR: Stopping Powers and Range Tables for Protons
AIR (dry, near sea level)
Kinetic   Projected 
Energy    Range     
MeV       g/cm2     
1.000E-03 3.257E-06 
1.500E-03 4.925E-06 
2.000E-03 6.577E-06 
2.500E-03 8.189E-06 
3.000E-03 9.759E-06 
4.000E-03 1.277E-05 
5.000E-03 1.563E-05 
6.000E-03 1.834E-05 
7.000E-03 2.094E-05 
8.000E-03 2.342E-05 
9.000E-03 2.580E-05 
1.000E-02 2.810E-05 
1.250E-02 3.356E-05 
1.500E-02 3.869E-05 
1.750E-02 4.356E-05 
2.000E-02 4.822E-05 
2.250E-02 5.269E-05 
2.500E-02 5.701E-05 
2.750E-02 6.120E-05 
3.000E-02 6.527E-05 
3.500E-02 7.313E-05 
4.000E-02 8.069E-05 
4.500E-02 8.800E-05 
5.000E-02 9.513E-05 
5.500E-02 1.021E-04 
6.000E-02 1.090E-04 
6.500E-02 1.158E-04 
7.000E-02 1.226E-04 
7.500E-02 1.293E-04 
8.000E-02 1.360E-04 
8.500E-02 1.426E-04 
9.000E-02 1.493E-04 
9.500E-02 1.561E-04 
1.000E-01 1.628E-04 
1.250E-01 1.972E-04 
1.500E-01 2.333E-04 
1.750E-01 2.715E-04 
2.000E-01 3.121E-04 
2.250E-01 3.553E-04 
2.500E-01 4.010E-04 
2.750E-01 4.493E-04 
3.000E-01 5.002E-04 
3.500E-01 6.095E-04 
4.000E-01 7.287E-04 
4.500E-01 8.573E-04 
5.000E-01 9.951E-04 
5.500E-01 1.142E-03 
6.000E-01 1.297E-03 
6.500E-01 1.461E-03 
7.000E-01 1.633E-03 
7.500E-01 1.813E-03 
8.000E-01 2.002E-03 
8.500E-01 2.198E-03 
9.000E-01 2.402E-03 
9.500E-01 2.614E-03 
1.000E+00 2.834E-03 
1.250E+00 4.046E-03 
1.500E+00 5.438E-03 
1.750E+00 7.006E-03 
2.000E+00 8.742E-03 
2.250E+00 1.064E-02 
2.500E+00 1.270E-02 
2.750E+00 1.492E-02 
3.000E+00 1.730E-02 
3.500E+00 2.250E-02 
4.000E+00 2.829E-02 
4.500E+00 3.466E-02 
5.000E+00 4.161E-02 
5.500E+00 4.910E-02 
6.000E+00 5.715E-02 
6.500E+00 6.574E-02 
7.000E+00 7.486E-02 
7.500E+00 8.452E-02 
8.000E+00 9.469E-02 
8.500E+00 1.054E-01 
9.000E+00 1.166E-01 
9.500E+00 1.283E-01 
1.000E+01 1.405E-01 
1.250E+01 2.089E-01 
1.500E+01 2.893E-01 
1.750E+01 3.813E-01 
2.000E+01 4.845E-01 
2.500E+01 7.238E-01 
2.750E+01 8.593E-01 
3.000E+01 1.005E+00 
3.500E+01 1.327E+00 
4.000E+01 1.688E+00 
4.500E+01 2.088E+00 
5.000E+01 2.524E+00 
5.500E+01 2.996E+00 
6.000E+01 3.504E+00 
6.500E+01 4.045E+00 
7.000E+01 4.620E+00 
7.500E+01 5.228E+00 
8.000E+01 5.867E+00 
8.500E+01 6.538E+00 
9.000E+01 7.239E+00 
9.500E+01 7.970E+00 
1.000E+02 8.731E+00 
1.250E+02 1.295E+01 
1.500E+02 1.783E+01 
1.750E+02 2.330E+01 
2.000E+02 2.933E+01 
2.250E+02 3.585E+01 
2.500E+02 4.284E+01 
2.750E+02 5.026E+01 
3.000E+02 5.809E+01 
3.500E+02 7.481E+01 
4.000E+02 9.282E+01 
4.500E+02 1.119E+02 
5.000E+02 1.320E+02 
5.500E+02 1.530E+02 
6.000E+02 1.747E+02 
6.500E+02 1.971E+02 
7.000E+02 2.200E+02 
7.500E+02 2.435E+02 
8.000E+02 2.674E+02 
8.500E+02 2.918E+02 
9.000E+02 3.165E+02 
9.500E+02 3.415E+02 
1.000E+03 3.668E+02 
1.500E+03 6.306E+02 
2.000E+03 9.035E+02 
2.500E+03 1.178E+03 
3.000E+03 1.453E+03 
4.000E+03 1.995E+03 
5.000E+03 2.527E+03 
6.000E+03 3.049E+03 
7.000E+03 3.561E+03 
8.000E+03 4.066E+03 
9.000E+03 4.563E+03 
1.000E+04 5.053E+03 
